essai,date plantation_ou_coupe,age,date notation,modalité,parcelle,Note_globale_plein,Note_globale_R,Note_globale_IR,Note_adv_plein,Note_adv_R,Note_adv_IR,Note_pds_plein,Note_pds_R,Note_pds_IR,Cyperus rotundus ,Mimosa pudica ,Cardiospermum halicacabum,Senna occidentalis ,Ipomoea obscura ,Desmodium intortum,Croton bonplandianus,Bidens pilosa ,Passiflora foetida ,Tephrosia purpurea ,Momordica charantia ,Centrosema pubescens ,Lantana camara,Crotalaria retusa ,Commelina benghalensis,Litsea glutinosa ,Sida acuta ,Cajanus scarabeoides,Oxalis corniculata,Argemone mexicana ,Euphorbia hypericifolia,Sonchus asper ,Sonchus oleraceus,Phyllanthus urinaria ,Rottboellia cochinchinensis ,Euphorbia heterophylla ,Chamaesyce hirta ,Amaranthus dubius,Canavalia ensiformis,Hibiscus surattensis ,Lapsana communis ,Solanum mauritianum ,Sigesbeckia orientalis ,Conyza sumatrensis ,Phyllanthus tenellus,Brachiaria eruciformis,Ricinus communis ,,,,,,Cyperus rotundus 
P41,25/7/2018,"2,6",12/10/2018,Tréf,P5,40,60,20,40,60,20,,,,40,0,1,1,1,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,0,0,0,5,0,0,0,0,1,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M2,P6,65,50,80,30,50,10,35,0,70,10,0,1,1,1,0,1,20,0,1,0,1,0,0,1,0,1,0,0,0,10,10,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M3,P7,50,50,50,35,50,20,15,0,30,5,0,10,5,1,0,1,20,1,0,0,0,1,0,0,0,0,1,0,0,10,10,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M5,P8,70,60,80,40,60,20,30,0,60,10,5,1,1,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M6,P9,45,40,50,25,40,10,20,0,40,5,5,1,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M3,P10,50,60,40,35,60,10,15,0,30,20,1,1,0,1,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M2,P11,60,40,80,25,40,10,35,0,70,5,0,0,0,5,0,5,20,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,TE,P12,55,80,30,55,80,30,,,,10,5,20,5,1,0,1,30,1,0,0,0,0,0,5,0,0,0,0,0,10,10,1,10,0,0,0,5,0,0,0,0,1,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M4,P13,70,60,80,40,60,20,30,0,60,10,1,5,1,1,0,1,30,1,0,0,0,0,0,1,0,0,0,0,0,10,10,0,10,0,0,0,5,0,0,0,0,1,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M1,P14,60,40,80,25,40,10,35,0,70,20,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,10,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
